timestamp,datetime,mid_price,volatility,kappa,A,gamma,optimal_spread_bps,bid_spread_bps,ask_spread_bps,bid_price,ask_price,reservation_price
1763902430830,N/A,2834.350,0.000069,2.67,0.00,0.10,27.02,13.51,13.51,2830.52,2838.18,2834.35
1763902490832,N/A,2834.150,0.000069,2.74,0.00,0.10,27.02,13.51,13.51,2830.32,2837.98,2834.15
1763902550930,N/A,2834.150,0.000069,2.74,0.00,0.10,27.09,13.54,13.54,2830.31,2837.99,2834.15
1763902610930,N/A,2833.750,0.000070,2.77,0.00,0.10,27.24,13.62,13.62,2829.89,2837.61,2833.75
1763902671028,N/A,2833.150,0.000070,2.77,0.00,0.10,27.31,13.65,13.65,2829.28,2837.02,2833.15
1763902731028,N/A,2832.750,0.000070,2.78,0.00,0.10,27.25,13.62,13.62,2828.89,2836.61,2832.75
1763902791028,N/A,2834.250,0.000070,2.80,0.00,0.10,27.30,13.65,13.65,2830.38,2838.12,2834.25
1763902851028,N/A,2833.350,0.000070,2.81,0.00,0.10,27.17,13.58,13.58,2829.50,2837.20,2833.35
1763902911028,N/A,2833.850,0.000070,2.81,0.00,0.10,27.38,13.69,13.69,2829.97,2837.73,2833.85
1763902971028,N/A,2834.950,0.000070,2.85,0.00,0.10,27.51,13.75,13.75,2831.05,2838.85,2834.95
1763903031032,N/A,2834.750,0.000070,2.78,0.00,0.10,27.30,13.65,13.65,2830.88,2838.62,2834.75
1763903091128,N/A,2834.950,0.000070,2.78,0.00,0.10,27.16,13.58,13.58,2831.10,2838.80,2834.95
1763903151128,N/A,2835.850,0.000069,2.67,0.00,0.10,26.72,13.36,13.36,2832.06,2839.64,2835.85
1763903211128,N/A,2833.250,0.000069,2.66,0.00,0.10,26.61,13.30,13.30,2829.48,2837.02,2833.25
1763903271129,N/A,2830.250,0.000069,2.68,0.00,0.10,26.78,13.39,13.39,2826.46,2834.04,2830.25
1763903331228,N/A,2830.250,0.000069,2.71,0.00,0.10,26.64,13.32,13.32,2826.48,2834.02,2830.25
1763903391236,N/A,2830.250,0.000069,2.72,0.00,0.10,26.64,13.32,13.32,2826.48,2834.02,2830.25
1763903451328,N/A,2827.450,0.000069,2.79,0.00,0.10,26.66,13.33,13.33,2823.68,2831.22,2827.45
1763903511328,N/A,2825.850,0.000069,2.88,0.00,0.10,26.96,13.48,13.48,2822.04,2829.66,2825.85
1763903571330,N/A,2823.150,0.000070,3.17,0.01,0.10,26.92,13.46,13.46,2819.35,2826.95,2823.15
1763903631429,N/A,2822.550,0.000070,3.17,0.01,0.10,26.99,13.49,13.49,2818.74,2826.36,2822.55
1763903691528,N/A,2823.350,0.000069,3.35,0.01,0.10,26.35,13.17,13.17,2819.63,2827.07,2823.35
1763903751531,N/A,2825.350,0.000069,3.39,0.01,0.10,26.19,13.09,13.09,2821.65,2829.05,2825.35
1763903811531,N/A,2827.450,0.000068,3.29,0.01,0.10,25.88,12.94,12.94,2823.79,2831.11,2827.45
1763903871727,N/A,2827.650,0.000065,3.23,0.00,0.10,23.83,11.91,11.91,2824.28,2831.02,2827.65
1763903931730,N/A,2828.250,0.000062,3.20,0.00,0.10,21.99,10.99,10.99,2825.14,2831.36,2828.25
1763903991732,N/A,2830.5,0.000061,3.29,0.01,0.10,21.40,10.70,10.70,2827.47,2833.53,2830.50
1763904051828,N/A,2829.850,0.000060,3.54,0.01,0.10,20.63,10.31,10.31,2826.93,2832.77,2829.85
1763904111829,N/A,2827.950,0.000060,3.42,0.01,0.10,20.72,10.36,10.36,2825.02,2830.88,2827.95
1763904171935,N/A,2824.650,0.000060,3.41,0.00,0.10,20.25,10.12,10.12,2821.79,2827.51,2824.65
1763904232030,N/A,2825.650,0.000060,3.41,0.00,0.10,20.24,10.12,10.12,2822.79,2828.51,2825.65
1763904292130,N/A,2825.750,0.000059,3.48,0.01,0.10,20.03,10.01,10.01,2822.92,2828.58,2825.75
1763904352133,N/A,2828.250,0.000060,3.48,0.01,0.10,20.15,10.07,10.07,2825.40,2831.10,2828.25
1763904412137,N/A,2828.050,0.000059,3.48,0.01,0.10,19.80,9.90,9.90,2825.25,2830.85,2828.05
1763904472229,N/A,2828.550,0.000059,3.47,0.01,0.10,19.65,9.82,9.82,2825.77,2831.33,2828.55
1763904532233,N/A,2829.050,0.000059,3.47,0.01,0.10,19.65,9.82,9.82,2826.27,2831.83,2829.05
1763904592327,N/A,2831.050,0.000058,3.47,0.01,0.10,19.42,9.71,9.71,2828.30,2833.80,2831.05
1763904652328,N/A,2830.150,0.000058,3.55,0.01,0.10,19.00,9.50,9.50,2827.46,2832.84,2830.15
1763904712339,N/A,2828.950,0.000058,3.55,0.01,0.10,18.94,9.47,9.47,2826.27,2831.63,2828.95
1763904772444,N/A,2833.050,0.000057,3.55,0.01,0.10,18.49,9.24,9.24,2830.43,2835.67,2833.05
1763904832528,N/A,2831.550,0.000057,3.54,0.01,0.10,18.57,9.28,9.28,2828.92,2834.18,2831.55
1763904892539,N/A,2829.950,0.000057,3.53,0.01,0.10,18.65,9.32,9.32,2827.31,2832.59,2829.95
1763904952633,N/A,2829.750,0.000057,3.62,0.01,0.10,18.44,9.22,9.22,2827.14,2832.36,2829.75
1763905012635,N/A,2832.350,0.000054,3.95,0.01,0.10,16.73,8.36,8.36,2829.98,2834.72,2832.35
1763905072637,N/A,2833.450,0.000052,4.24,0.01,0.10,15.59,7.79,7.79,2831.24,2835.66,2833.45
1763905132728,N/A,2836.050,0.000052,4.03,0.01,0.10,15.51,7.75,7.75,2833.85,2838.25,2836.05
1763905192731,N/A,2835.850,0.000052,4.03,0.01,0.10,15.44,7.72,7.72,2833.66,2838.04,2835.85
1763905252830,N/A,2835.450,0.000051,4.02,0.01,0.10,15.09,7.54,7.54,2833.31,2837.59,2835.45
1763905312830,N/A,2838.450,0.000051,3.99,0.01,0.10,15.14,7.57,7.57,2836.30,2840.60,2838.45
1763905372930,N/A,2838.150,0.000051,4.00,0.01,0.10,15.22,7.61,7.61,2835.99,2840.31,2838.15
1763905433029,N/A,2838.150,0.000051,4.01,0.01,0.10,15.29,7.64,7.64,2835.98,2840.32,2838.15
1763905493132,N/A,2838.650,0.000051,4.04,0.01,0.10,15.28,7.64,7.64,2836.48,2840.82,2838.65
1763905553132,N/A,2837.350,0.000051,4.06,0.01,0.10,15.29,7.64,7.64,2835.18,2839.52,2837.35
1763905613228,N/A,2836.850,0.000051,4.05,0.01,0.10,14.80,7.40,7.40,2834.75,2838.95,2836.85
1763905673228,N/A,2839.650,0.000051,4.05,0.01,0.10,14.86,7.43,7.43,2837.54,2841.76,2839.65
1763905733239,N/A,2840.150,0.000051,4.07,0.01,0.10,15.06,7.53,7.53,2838.01,2842.29,2840.15
1763905793328,N/A,2842.750,0.000051,4.07,0.01,0.10,15.05,7.52,7.52,2840.61,2844.89,2842.75
